Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
C3,1uF,C_0805_2012Metric,410.083000,-205.613000,135.000000,bottom
C4,0.1uF,C_0805_2012Metric,400.685000,-204.724000,225.000000,bottom
C5,0.1uF,C_0805_2012Metric,413.131000,-216.154000,45.000000,bottom
C6,0.1uF,C_0805_2012Metric,409.067000,-207.772000,135.000000,bottom
C7,0.1uF,C_0805_2012Metric,394.716000,-210.566000,45.000000,bottom
C8,0.1uF,C_0805_2012Metric,399.542000,-221.615000,315.000000,bottom
C9,10uF,C_0805_2012Metric,403.606000,-202.438000,135.000000,bottom
D_1,D,D_SOD-123,206.962500,-185.824750,90.000000,bottom
D_2,D,D_SOD-123,226.012500,-185.824750,90.000000,bottom
D_3,D,D_SOD-123,245.062500,-185.824750,90.000000,bottom
D_4,D,D_SOD-123,264.112500,-185.824750,90.000000,bottom
D_5,D,D_SOD-123,283.162500,-185.824750,90.000000,bottom
D_6,D,D_SOD-123,302.212500,-185.824750,90.000000,bottom
D_7,D,D_SOD-123,321.262500,-185.824750,90.000000,bottom
D_8,D,D_SOD-123,340.312500,-185.824750,90.000000,bottom
D_9,D,D_SOD-123,359.362500,-185.824750,90.000000,bottom
D_10,D,D_SOD-123,378.412500,-185.824750,90.000000,bottom
D_11,D,D_SOD-123,396.367000,-185.824750,90.000000,bottom
D_12,D,D_SOD-123,409.829000,-190.246000,90.000000,bottom
D_13,D,D_SOD-123,430.276000,-190.500000,90.000000,bottom
D_14,D,D_SOD-123,211.137500,-204.851000,90.000000,bottom
D_15,D,D_SOD-123,230.775000,-204.874750,90.000000,bottom
D_16,D,D_SOD-123,249.825000,-204.874750,90.000000,bottom
D_17,D,D_SOD-123,268.875000,-204.874750,90.000000,bottom
D_18,D,D_SOD-123,287.925000,-204.874750,90.000000,bottom
D_19,D,D_SOD-123,306.975000,-204.874750,90.000000,bottom
D_20,D,D_SOD-123,326.025000,-204.874750,90.000000,bottom
D_21,D,D_SOD-123,345.075000,-204.874750,90.000000,bottom
D_22,D,D_SOD-123,364.125000,-204.874750,90.000000,bottom
D_23,D,D_SOD-123,383.175000,-204.874750,90.000000,bottom
D_24,D,D_SOD-123,393.446000,-196.977000,270.000000,bottom
D_25,D,D_SOD-123,426.466000,-204.851000,90.000000,bottom
D_26,D,D_SOD-123,203.200000,-229.108000,90.000000,bottom
D_27,D,D_SOD-123,220.853000,-223.901000,90.000000,bottom
D_28,D,D_SOD-123,240.300000,-223.924750,90.000000,bottom
D_29,D,D_SOD-123,259.350000,-223.924750,90.000000,bottom
D_30,D,D_SOD-123,278.400000,-223.924750,90.000000,bottom
D_31,D,D_SOD-123,297.450000,-223.924750,90.000000,bottom
D_32,D,D_SOD-123,316.500000,-223.924750,90.000000,bottom
D_33,D,D_SOD-123,335.550000,-223.924750,90.000000,bottom
D_34,D,D_SOD-123,354.600000,-223.924750,90.000000,bottom
D_35,D,D_SOD-123,373.650000,-223.924750,90.000000,bottom
D_36,D,D_SOD-123,392.700000,-223.924750,90.000000,bottom
D_37,D,D_SOD-123,411.607000,-229.489000,270.000000,bottom
D_38,D,D_SOD-123,430.276000,-223.924750,90.000000,bottom
D_39,D,D_SOD-123,209.232500,-246.919750,90.000000,bottom
D_40,D,D_SOD-123,233.299000,-246.888000,90.000000,bottom
D_41,D,D_SOD-123,251.714000,-246.919750,90.000000,bottom
D_42,D,D_SOD-123,255.778000,-246.919750,90.000000,bottom
D_43,D,D_SOD-123,284.175200,-246.938800,90.000000,bottom
D_44,D,D_SOD-123,320.992500,-245.618000,90.000000,bottom
D_45,D,D_SOD-123,337.820000,-246.919750,90.000000,bottom
D_46,D,D_SOD-123,371.729000,-247.015000,90.000000,bottom
D_47,D,D_SOD-123,391.477500,-246.919750,90.000000,bottom
D_48,D,D_SOD-123,411.543500,-246.919750,90.000000,bottom
D_49,D,D_SOD-123,430.149000,-246.919750,90.000000,bottom
F1,500mA,Fuse_1206_3216Metric,405.892000,-193.675000,90.000000,bottom
R1,10k,R_0805_2012Metric,196.469000,-225.806000,90.000000,bottom
R2,22,R_0805_2012Metric,401.320000,-196.596000,90.000000,bottom
R3,22,R_0805_2012Metric,403.225000,-196.596000,90.000000,bottom
R4,5.1k,R_0805_2012Metric,399.415000,-185.039000,90.000000,bottom
R5,5.1k,R_0805_2012Metric,404.876000,-185.166000,90.000000,bottom
R6,10k,R_0805_2012Metric,393.827000,-215.265000,315.000000,bottom
SW6,SW_Push,SW_Push_1P1T_NO_CK_KMR2,193.167000,-224.663000,270.000000,bottom
U1,PRTR5V0U2X,SOT143B,402.336000,-187.579000,180.000000,bottom
U2,ATmega32U4-AU,TQFP-44_10x10mm_P0.8mm,403.256750,-213.360000,225.000000,bottom
Y1,Resonator_Small,Resonator_SMD_muRata_CSTxExxV-3Pin_3.0x1.1mm_HandSoldering,411.439528,-220.050528,135.000000,bottom